,lattitude,longitude,Fri Sep 10 09:42:11 2021,Fri Sep 10 09:43:15 2021,Fri Sep 10 09:44:17 2021,Fri Sep 10 09:45:21 2021,Fri Sep 10 09:46:26 2021,Fri Sep 10 09:47:28 2021,Fri Sep 10 09:48:32 2021,Fri Sep 10 09:49:35 2021,Fri Sep 10 09:50:37 2021,Fri Sep 10 09:51:42 2021,Fri Sep 10 09:52:46 2021,Fri Sep 10 09:53:49 2021,Fri Sep 10 09:54:52 2021,Fri Sep 10 09:55:55 2021,Fri Sep 10 09:56:58 2021,Fri Sep 10 09:58:01 2021,Fri Sep 10 09:59:04 2021,Fri Sep 10 10:00:07 2021,Fri Sep 10 10:01:10 2021,Fri Sep 10 10:02:13 2021,Fri Sep 10 10:03:16 2021,Fri Sep 10 10:04:19 2021,Fri Sep 10 10:05:23 2021,Fri Sep 10 10:06:26 2021,Fri Sep 10 10:07:29 2021,Fri Sep 10 10:08:32 2021,Fri Sep 10 10:09:35 2021,Fri Sep 10 10:10:37 2021,Fri Sep 10 10:11:40 2021,Fri Sep 10 10:12:43 2021,Fri Sep 10 10:13:46 2021,Fri Sep 10 10:14:48 2021,Fri Sep 10 10:15:51 2021,Fri Sep 10 10:16:54 2021,Fri Sep 10 10:17:57 2021,Fri Sep 10 10:19:00 2021,Fri Sep 10 10:20:03 2021,Fri Sep 10 10:21:06 2021,Fri Sep 10 10:22:09 2021,Fri Sep 10 10:23:12 2021,Fri Sep 10 10:24:16 2021,Fri Sep 10 10:25:18 2021,Fri Sep 10 10:26:22 2021,Fri Sep 10 10:27:25 2021,Fri Sep 10 10:28:28 2021,Fri Sep 10 10:29:30 2021,Fri Sep 10 10:30:34 2021,Fri Sep 10 10:31:37 2021,Fri Sep 10 10:32:41 2021,Fri Sep 10 10:33:43 2021,Fri Sep 10 10:34:46 2021,Fri Sep 10 10:35:49 2021,Fri Sep 10 10:36:53 2021,Fri Sep 10 10:37:56 2021,Fri Sep 10 10:38:59 2021,Fri Sep 10 10:40:02 2021,Fri Sep 10 10:41:05 2021,Fri Sep 10 10:42:08 2021,Fri Sep 10 10:43:11 2021,Fri Sep 10 10:44:13 2021
Wilton Ave & Belmont Ave,41.94018,-87.65304,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,10,9
Sedgwick St & North Ave,41.911386,-87.638677,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ashland Ave & Lake St,41.88592,-87.66717,9,8,8,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Wentworth Ave & Cermak Rd,41.853084,-87.631931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ogden Ave & Congress Pkwy,41.87501,-87.67328,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
California Ave & Milwaukee Ave,41.922695,-87.697153,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Damen Ave & Cullerton St,41.854966,-87.675699,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Rush St & Hubbard St,41.890173,-87.626185,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark St & North Ave,41.911974,-87.631942,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
