,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Morgan St & 18th St,41.858086,-87.651073,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Morgan St & 18th St, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Morgan St & 18th St, dtype: int64"
Racine Ave & 18th St,41.858166,-87.656495,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:12:09 2021    9
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:13:13 2021    9
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Racine Ave & 18th St, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Racine Ave & 18th St, dtype: int64"
Paulina Ave & North Ave,41.909854,-87.66993,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Paulina Ave & North Ave, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Paulina Ave & North Ave, dtype: int64"
Honore St & Division St,41.903119,-87.673935,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Honore St & Division St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Honore St & Division St, dtype: int64"
Wacker Dr & Washington St,41.883253,-87.636512,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,11,12,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Wacker Dr & Washington St, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Wacker Dr & Washington St, dtype: int64"
Throop St & Taylor St,41.868968,-87.659141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Throop St & Taylor St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Throop St & Taylor St, dtype: int64"
Sheffield Ave & Kingsbury St,41.910522,-87.653106,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    4
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Sheffield Ave & Kingsbury St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Sheffield Ave & Kingsbury St, dtype: int64"
Aberdeen St & Jackson Blvd,41.877726,-87.654787,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Mon Oct  4 10:10:00 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:11:05 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:12:09 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Aberdeen St & Jackson Blvd, dtype: int64"
May St & Taylor St,41.869482,-87.655486,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: May St & Taylor St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: May St & Taylor St, dtype: int64"
Orleans St & Elm St,41.902924,-87.637715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Orleans St & Elm St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Orleans St & Elm St, dtype: int64"
Fairbanks Ct & Grand Ave,41.891847,-87.62058,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Fairbanks Ct & Grand Ave, dtype: int64"
Michigan Ave & Pearson St,41.89766,-87.62351,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"Mon Oct  4 10:10:00 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:11:05 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:12:09 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:13:13 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:14:19 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:15:24 2021    17
Name: Michigan Ave & Pearson St, dtype: int64","Mon Oct  4 10:16:30 2021    17
Name: Michigan Ave & Pearson St, dtype: int64"
New St & Illinois St,41.890847,-87.618616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: New St & Illinois St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: New St & Illinois St, dtype: int64"
Larrabee St & North Ave,41.91021,-87.6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Larrabee St & North Ave, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Larrabee St & North Ave, dtype: int64"
Larrabee St & Menomonee St,41.91468,-87.64332,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Larrabee St & Menomonee St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Larrabee St & Menomonee St, dtype: int64"
