,tracts,population
528,242700,1679
529,836500,1603
530,242400,2767
531,611000,904
532,310600,4654
533,440300,4404
534,020701,1692
535,700401,6171
536,760803,6274
537,671800,1265
538,450300,3737
539,560100,1477
540,061902,4327
541,490300,2296
542,271300,1341
543,681300,2187
544,251000,1064
545,010202,2275
546,243200,2243
547,630900,5192
548,834400,4454
549,381900,1257
550,010100,4388
551,661000,5128
552,040900,2153
553,610800,1664
554,681000,3107
555,242100,3622
556,750500,6298
557,020301,5297
558,650500,4290
559,834700,1783
560,410900,3075
561,250400,5051
562,440202,3514
563,440900,2494
564,530600,2622
565,480500,3084
566,081800,8265
567,530100,2223
568,061200,2061
569,071200,1993
570,090100,3293
571,380700,1085
572,838700,4808
573,230200,2268
574,837000,1919
575,222600,1681
576,834900,2198
577,843700,2515
578,020500,5927
579,031400,5068
580,063200,7124
581,261000,2490
582,611200,2512
583,610300,6052
584,590500,1835
585,221600,2950
586,570400,1770
587,151200,3574
588,834800,1518
589,170200,4023
590,242600,6182
591,530400,2004
592,301200,3231
593,081700,3338
594,600400,4470
595,580700,6124
596,190701,2785
597,071000,4079
598,241200,1956
599,831400,3017
600,836200,1660
601,839600,1727
602,835000,6136
603,841700,1698
604,110100,5248
605,430102,3037
606,292500,4104
607,260900,1450
608,220901,3064
609,063302,4336
610,170100,1894
611,570300,5995
612,151100,5486
613,740300,4775
614,710300,1338
615,839800,2895
616,410800,3189
617,838100,1853
618,530300,4168
619,301100,2708
620,560700,3500
621,650301,5887
622,710200,4939
623,600700,2517
624,282700,2187
625,191301,5868
626,120100,3820
627,838600,1506
628,835100,5845
629,260700,1911
630,841600,676
631,420600,2147
632,050600,2164
633,040800,1838
634,070600,3366
635,611700,1350
636,700402,4264
637,842800,7460
638,560300,3332
639,840000,2804
640,510200,2413
641,710100,1296
642,071100,2898
643,071800,2841
644,050800,1436
645,831700,2325
646,841900,6388
647,480300,1238
648,260600,1978
649,030701,1654
650,834000,3020
651,040700,3393
652,570100,1296
653,520100,2181
654,242500,3958
655,100100,5095
656,061500,1820
657,540102,3439
658,560400,1697
659,030102,2914
660,560200,1524
661,520600,2849
662,835600,944
663,671900,1120
664,431400,6361
665,071500,5977
666,440101,3712
667,650100,4626
668,480200,1130
669,260500,1679
670,841300,4176
671,640100,1473
672,031700,6925
673,834300,6103
674,490600,1528
675,832200,3538
676,040600,2560
677,510300,5761
678,010400,5603
679,320400,3057
680,160300,3969
681,090300,1301
682,061100,1508
683,070102,2779
684,843300,2090
685,500300,1416
686,150502,4270
687,520500,4638
688,230300,1092
689,431200,3059
690,251500,4395
691,250500,8015
692,081900,1007
693,031501,4118
694,061800,1216
695,480100,2066
696,030500,6468
697,400500,2273
698,220902,2954
699,390600,1885
700,700501,7645
701,030603,1954
702,720700,3331
703,430300,2118
704,160200,3127
705,231100,1294
706,063400,2060
707,300900,4107
708,550200,2845
709,140601,2757
710,030800,4184
711,460400,3302
712,770700,2638
713,150401,4999
714,520400,4000
715,380200,1770
716,351400,1785
717,691000,2536
718,060800,5042
719,242200,3642
720,252201,2851
721,470100,2442
722,400300,1312
723,200401,3722
724,390500,1551
725,460301,2868
726,280900,1007
727,720600,1743
728,430200,4874
729,711000,3121
730,611500,3254
731,842600,4622
732,160100,2556
733,100400,3061
734,760802,2503
735,420300,2524
736,750400,3224
737,740400,4475
738,671400,1720
739,150501,4243
740,661100,6241
741,380100,1891
742,030601,4001
743,351000,3831
744,730400,3967
745,690900,4556
746,060300,3259
747,242300,3096
748,420800,2120
749,282800,1583
750,200402,4186
751,390400,2370
752,460302,3362
753,730600,3022
754,310500,1505
755,843400,1266
756,080400,4074
757,260800,2524
758,020602,4378
759,070700,4342
760,280800,1002
761,460600,982
762,030706,3590
763,843800,1699
764,350400,1721
765,690500,786
766,060100,2708
767,071400,4703
768,220300,2306
769,230600,6445
770,351100,2022
771,251800,5482
772,390300,2735
773,431302,4263
774,730500,4357
775,490901,3962
776,252202,5146
777,611300,2598
778,843200,2182
779,010701,3921
780,842900,2291
781,070103,1562
782,310800,4095
783,671300,1978
784,251300,4686
785,691400,2923
786,241300,2028
787,210700,4282
788,020100,4025
789,411200,1604
790,710700,2767
791,620100,4939
792,670300,1198
793,030103,2313
794,839000,8421
795,350100,2077
796,730100,2514
797,690300,2428
798,051400,1852
799,243400,2677
